Marital Status,Number of People,Number of Children
married,41,0
married,81,1
married,218,2
married,108,3
married,33,4
married,7,5
married,4,6
married,0,7
married,1,8
living together,82,0
living together,46,1
living together,54,2
living together,21,3
living together,9,4
living together,0,5
living together,2,6
living together,0,7
living together,0,8
divorced,4,0
divorced,11,1
divorced,39,2
divorced,13,3
divorced,6,4
divorced,0,5
divorced,0,6
divorced,1,7
divorced,0,8
separated,1,0
separated,14,1
separated,14,2
separated,4,3
separated,1,4
separated,0,5
separated,0,6
separated,0,7
separated,0,8
single,216,0
single,36,1
single,30,2
single,7,3
single,1,4
single,0,5
single,0,6
single,1,7
single,0,8
widowed,6,0
widowed,14,1
widowed,30,2
widowed,8,3
widowed,1,4
widowed,1,5
widowed,0,6
widowed,0,7
widowed,0,8
